keyword,sentence
tortoise,I see the tortoise.
touch,Touch is nice.
touch,I see the touch.
touch,I love touch!
towel,I see the towel.
towel,I love towel!
towel,I have a towel.
toys,I have a toys.
toys,I see the toys.
toys,Do you like toys?
toy,I see the toy.
toy,Toy makes me happy.
toy,I want toy.
tracksuit,I want tracksuit.
tracksuit,Tracksuit is nice.
tracksuit,I like tracksuit.
tractor,Tractor is nice.
tractor,I love tractor!
tractor,Tractor makes me happy.
train,Do you like train?
train,Train is my favorite.
train,Train is here.
transport,I love transport!
transport,I have a transport.
transport,Do you like transport?
travel,I want travel.
travel,Travel is here.
travel,Travel makes me happy.
tree,Tree makes me happy.
tree,Do you like tree?
tree,Tree is nice.
trip,Trip is here.
trip,Trip is my favorite.
trip,Do you like trip?
trousers,Do you like trousers?
trousers,I like trousers.
trousers,I have a trousers.
trumpet,Trumpet is nice.
trumpet,I want trumpet.
trumpet,Trumpet is here.
trunk,I see the trunk.
trunk,I love trunk!
trunk,I want trunk.
tuesday,Do you like tuesday?
tuesday,Tuesday is nice.
tuesday,Tuesday is my favorite.
t,I see the t.
t,I have a t.
t,Do you like t?
ugly,I see the ugly.
ugly,I have a ugly.
ugly,Do you like ugly?
umbrella,I see the umbrella.
umbrella,I want umbrella.
umbrella,Umbrella makes me happy.
uncomfortable,Uncomfortable is nice.
uncomfortable,Do you like uncomfortable?
uncomfortable,Uncomfortable is my favorite.
underpants,Underpants is here.
underpants,Underpants is my favorite.
underpants,I love underpants!
under,I see the under.
under,Under is my favorite.
under,I want under.
undress,Undress makes me happy.
undress,I see the undress.
undress,I want undress.
uneven,I see the uneven.
uneven,Uneven makes me happy.
uneven,Uneven is here.
up,I like up.
up,I have a up.
up,Up is my favorite.
use,Use is my favorite.
use,I have a use.
use,Use is nice.
vagina,Vagina is here.
vagina,I want vagina.
vagina,I see the vagina.
vampire,Do you like vampire?
vampire,Vampire is here.
vampire,I want vampire.
van,Do you like van?
van,I like van.
van,I want van.
vegetable,I see the vegetable.
vegetable,I want vegetable.
vegetable,Vegetable is here.
verbs,Verbs is here.
verbs,I see the verbs.
verbs,I love verbs!
video,Do you like video?
video,I see the video.
video,I want video.
village,Village is here.
village,Village is nice.
village,I want village.
vinegar,Vinegar is my favorite.
vinegar,Do you like vinegar?
vinegar,I see the vinegar.
visit,Visit is my favorite.
visit,I like visit.
visit,I have a visit.
vitamin,Vitamin is here.
vitamin,I want vitamin.
vitamin,I like vitamin.
waistcoat,I want waistcoat.
waistcoat,I have a waistcoat.
waistcoat,I like waistcoat.
wait,I see the wait.
wait,Do you like wait?
wait,I want wait.
wake,Wake is here.
wake,Do you like wake?
wake,Wake makes me happy.
walker,Walker is nice.
walker,Walker is my favorite.
walker,Do you like walker?
walk,I want walk.
walk,I have a walk.
walk,I love walk!
wall,I want wall.
wall,Wall is my favorite.
wall,I see the wall.
want,I want want.
want,Want is my favorite.
want,Want is nice.
wardrobe,Wardrobe is my favorite.
wardrobe,I want wardrobe.
wardrobe,I have a wardrobe.
wash,I want wash.
wash,Wash is here.
wash,I see the wash.
watch,Watch is here.
watch,I like watch.
watch,Watch is nice.
waterproof,I like waterproof.
waterproof,I want waterproof.
waterproof,I love waterproof!
water,I like water.
water,I have a water.
water,Do you like water?
weak,I have a weak.
weak,I like weak.
weak,I want weak.
wednesday,I have a wednesday.
wednesday,I see the wednesday.
wednesday,Wednesday is here.
weekend,Weekend is here.
weekend,I love weekend!
weekend,Weekend is nice.
week,Week is my favorite.
week,I like week.
week,Week is nice.
well,I like well.
well,I have a well.
well,Well is here.
wet,Wet is my favorite.
wet,Wet makes me happy.
wet,Wet is nice.
whale,Whale is my favorite.
whale,I love whale!
whale,I want whale.
what,I like what.
what,Do you like what?
what,What is my favorite.
wheelchair,I want wheelchair.
wheelchair,Do you like wheelchair?
wheelchair,Wheelchair is here.
wheel,Wheel is nice.
wheel,Wheel is my favorite.
wheel,I like wheel.
when,When is my favorite.
when,I have a when.
when,When is here.
where,I have a where.
where,I see the where.
where,Where is here.
white,I love white!
white,White is here.
white,White is nice.
whose,Whose is nice.
whose,Whose is here.
whose,I want whose.
who,I have a who.
who,I like who.
who,Who makes me happy.
why,Why is here.
why,Why is nice.
why,I see the why.
window,Window is here.
window,Window makes me happy.
window,I love window!
winter,Winter is here.
winter,Winter is nice.
winter,I like winter.
win,Win is my favorite.
win,I see the win.
win,Win is nice.
with,I love with!
with,With is nice.
with,I like with.
wolf,I want wolf.
wolf,Wolf makes me happy.
wolf,Do you like wolf?
woman,I like woman.
woman,I want woman.
woman,Woman is nice.
wood,Wood is nice.
wood,Wood makes me happy.
wood,I have a wood.
work,I want work.
work,I like work.
work,Work is nice.
worm,Worm is here.
worm,I love worm!
worm,Worm makes me happy.
write,Write makes me happy.
write,I love write!
write,Write is my favorite.
year,Year is my favorite.
year,I like year.
year,I love year!
yellow,Yellow is my favorite.
yellow,I want yellow.
yellow,Do you like yellow?
yesterday,I want yesterday.
yesterday,I like yesterday.
yesterday,I see the yesterday.
yes,Yes is my favorite.
yes,I want yes.
yes,I see the yes.
yogurt,Do you like yogurt?
yogurt,Yogurt makes me happy.
yogurt,I see the yogurt.
young,Young is my favorite.
young,I love young!
young,I see the young.
your,Do you like your?
your,Your is nice.
your,Your is here.
you,You is my favorite.
you,You is here.
you,I have a you.
zebra,I see the zebra.
zebra,I love zebra!
zebra,Zebra is here.
