input,target
tired,Let’s rest if you are tired.
tired,Tired eyes need sleep.
toast,I eat toast for breakfast.
toast,The toast is warm and crisp.
toast,Put jam on your toast.
today,Today is a sunny day.
today,I go to school today.
today,Today we play outside.
toiletries,Toiletries are in my bag.
toiletries,I use toiletries every day.
toiletries,Soap and toothpaste are toiletries.
toilet,The toilet is clean.
toilet,Wash hands after using the toilet.
toilet,The toilet paper is next to the toilet.
tomato,The tomato is red.
tomato,I eat tomato in salad.
tomato,Tomatoes grow in the garden.
tomorrow,Tomorrow is a new day.
tomorrow,We go to the park tomorrow.
tomorrow,Tomorrow comes after today.
tongue,Stick out your tongue.
tongue,The tongue helps me taste.
tongue,My tongue is pink.
toothbrush,I use a toothbrush every morning.
toothbrush,The toothbrush is blue.
toothbrush,Put toothpaste on the toothbrush.
toothpaste,Toothpaste cleans my teeth.
toothpaste,Squeeze the toothpaste tube.
toothpaste,The toothpaste is minty.
tortoise,The tortoise moves slowly.
tortoise,A tortoise has a hard shell.
tortoise,I see a tortoise in the garden.
touch,Touch your nose.
touch,I can touch my toes.
touch,Touch the soft pillow.
towel,Dry your hands with a towel.
towel,The towel is soft.
towel,Hang the towel to dry.
toys,I have many toys.
toys,Toys are in the box.
toys,Let’s play with toys.
toy_kitchen,I play with my toy kitchen.
toy_kitchen,The toy kitchen has small pots.
toy_kitchen,Let’s cook in the toy kitchen.
tracksuit,The tracksuit is comfy.
tracksuit,Wear a tracksuit for sports.
tracksuit,My tracksuit is green.
tractor,The tractor is big and loud.
tractor,I see a tractor on the farm.
tractor,The tractor pulls the trailer.
train_station,The train station is busy.
train_station,Wait at the train station.
train_station,Trains stop at the train station.
transport,Buses are a kind of transport.
transport,We use transport to travel.
transport,Transport helps us go far.
travel,I like to travel.
travel,Travel can be by car or train.
travel,We travel to new places.
tree,The tree is tall and green.
tree,Birds sit in the tree.
tree,I see apples on the tree.
trip,We go on a trip.
trip,The trip was fun.
trip,Pack snacks for the trip.
tronca,The tronca is on the ground.
tronca,I see a tronca in the park.
tronca,Let’s climb on the tronca.
trousers,I wear trousers to school.
trousers,The trousers are blue.
trousers,Trousers keep my legs warm.
trumpet,The trumpet is loud.
trumpet,I play the trumpet.
trumpet,The trumpet is shiny and gold.
trunk,The trunk is big and strong.
trunk,Elephants have a long trunk.
trunk,Put toys in the trunk.
tuesday,Tuesday is after Monday.
tuesday,We have gym on Tuesday.
tuesday,Tuesday is a school day.
t_shirt,I wear a t-shirt.
t_shirt,The t-shirt is soft.
t_shirt,My t-shirt has a picture.
ugly,The monster looks ugly.
ugly,Some bugs are ugly.
ugly,Ugly things can be funny.
umbrella,Use an umbrella in the rain.
umbrella,The umbrella is blue.
umbrella,Hold the umbrella over your head.
uncomfortable,This chair is uncomfortable.
uncomfortable,I feel uncomfortable in tight shoes.
uncomfortable,Uncomfortable clothes are not nice.
underpants,I wear underpants every day.
underpants,Underpants go under my clothes.
underpants,My underpants are clean.
under,The cat is under the table.
under,Look under your bed.
under,The ball rolled under the chair.
undress,Time to undress for a bath.
undress,Undress before putting on pajamas.
undress,I can undress by myself.
uneven,The ground is uneven.
uneven,Be careful on uneven steps.
uneven,Uneven roads are bumpy.
up,Look up at the sky.
up,The balloon goes up.
up,Climb up the ladder.
use,Use a pencil to write.
use,I use a spoon to eat.
use,Use your words to ask.
vagina,The vagina is a body part.
vagina,Doctors help care for the vagina.
vagina,Everyone has private body parts.
vampire,A vampire sleeps in a coffin.
vampire,Vampires have sharp teeth.
vampire,Some stories have vampires.
van,The van is big and white.
van,We ride in a van to school.
van,The van has many seats.
vegetable,Carrot is a vegetable.
vegetable,Vegetables are good for you.
vegetable,I eat a green vegetable.
verbs,Run is a verb.
verbs,Verbs are action words.
verbs,We learn verbs in class.
video_camera,The video camera records movies.
video_camera,I see a video camera.
video_camera,Let’s use a video camera.
village,The village is small.
village,People live in the village.
village,We visit the village.
vinegar,Vinegar tastes sour.
vinegar,We use vinegar in salad.
vinegar,The bottle has vinegar.
visit,I visit my friend.
visit,Let’s visit the zoo.
visit,We visit grandma’s house.
vitamin,Vitamins help us grow.
vitamin,I take a vitamin every day.
vitamin,Fruits have vitamins.
waistcoat,The waistcoat is black.
waistcoat,Wear a waistcoat for a party.
waistcoat,The waistcoat has buttons.
wait,Please wait your turn.
wait,Wait at the bus stop.
wait,I wait for my snack.
wake_up,I wake up early.
wake_up,Wake up when the sun rises.
wake_up,It’s time to wake up.
walker,The walker helps with walking.
walker,Use a walker if you need help.
walker,The walker has four wheels.
walk,Let’s go for a walk.
walk,I walk to the park.
walk,Walk slowly on wet floors.
wall_lizard,The wall lizard is small.
wall_lizard,I see a wall lizard on the wall.
wall_lizard,Wall lizards move quickly.
want,I want a cookie.
want,Do you want to play?
want,We want to go outside.
wardrobe,Clothes are in the wardrobe.
wardrobe,The wardrobe is brown.
wardrobe,Open the wardrobe to find shoes.
wash,Wash your hands before eating.
wash,I wash my face every day.
wash,Wash the apples before eating.
watch,I wear a watch on my wrist.
watch,The watch shows the time.
watch,Look at the watch to see the hour.
waterproof,My coat is waterproof.
waterproof,Waterproof boots keep feet dry.
waterproof,Use a waterproof bag in the rain.
water,Drink water every day.
water,Water is clear.
water,Plants need water to grow.
weak,I feel weak when I am sick.
weak,The bridge is weak and old.
weak,Weak things can break easily.
wednesday,Wednesday is in the middle of the week.
wednesday,We have music on Wednesday.
wednesday,Wednesday comes after Tuesday.
weekend,The weekend is Saturday and Sunday.
weekend,I play on the weekend.
weekend,No school on the weekend.
week,A week has seven days.
week,We go to school every week.
week,The week starts on Monday.
well,I feel well today.
well,Drink water to stay well.
well,I hope you are well.
wet,My shoes are wet.
wet,Don’t sit on the wet bench.
wet,The grass is wet in the morning.
whale,The whale is very big.
whale,Whales live in the sea.
whale,I saw a whale on TV.
what,What is your name?
what,What do you see?
what,What is for lunch?
wheelchair,The wheelchair helps people move.
wheelchair,I see a wheelchair at school.
wheelchair,The wheelchair has big wheels.
wheel,The car has four wheels.
wheel,Turn the wheel to drive.
wheel,The wheel spins fast.
when,When do we eat?
when,When is your birthday?
when,When can we play?
where,Where is my bag?
where,Where do you live?
where,Where are we going?
white,The snow is white.
white,I have a white shirt.
white,Milk is white.
whose,Whose book is this?
whose,Whose shoes are on the floor?
whose,Whose turn is it?
who,Who is at the door?
who,Who wants to play?
who,Who made this drawing?
why,Why is the sky blue?
why,Why are you sad?
why,Why do we eat lunch?
window,Look out the window.
window,The window is open.
window,"Close the window, please."
winter,Winter is cold.
winter,I wear a coat in winter.
winter,Snow falls in winter.
win,I want to win the game.
win,Win a prize for your team.
win,It feels good to win.
with,I play with my friend.
with,Eat soup with a spoon.
with,Draw with a pencil.
wolf,The wolf howls at night.
wolf,A wolf lives in the forest.
wolf,I read a story about a wolf.
woman,A woman is reading a book.
woman,The woman is kind.
woman,I see a woman at the park.
wood,The table is made of wood.
wood,Wood comes from trees.
wood,We build with wood.
work,I do my work at school.
work,Work hard and do your best.
work,Work can be fun.
worm,The worm is in the soil.
worm,Worms are small and wiggly.
worm,I found a worm in the garden.
write,I write my name.
write,Write with a pencil.
write,Can you write a letter?
year,A year has twelve months.
year,This year is fun.
year,We start school every year.
yellow,The sun is yellow.
yellow,I have a yellow ball.
yellow,Bananas are yellow.
yesterday,Yesterday was fun.
yesterday,I saw a movie yesterday.
yesterday,Yesterday comes before today.
yes,"Yes, I want some juice."
yes,"Yes, let's play outside."
yes,Say yes if you agree.
yogurt,I eat yogurt for breakfast.
yogurt,Yogurt is cold and tasty.
yogurt,Strawberry yogurt is my favorite.
young,The puppy is young.
young,Young children play together.
young,A young tree is small.
your,Your shoes are here.
your,Brush your teeth.
your,Is this your bag?
you,You are my friend.
you,Can you help me?
you,You can do it!
zebra,The zebra has stripes.
zebra,I saw a zebra at the zoo.
zebra,Zebras run fast.
read book,I like to read a book.
read book,Read a book with me.
yellow flower,The flower is yellow.
yellow flower,I see a yellow flower.
ride a bike fast,Ride a bike fast in the park.
ride a bike fast,Can you ride a bike fast?
eat sandwich,I eat a sandwich for lunch.
eat sandwich,Eat the sandwich now.
sleeping bag camp,I sleep in a sleeping bag at camp.
sleeping bag camp,Take your sleeping bag to camp.
draw rectangle,Draw a rectangle on the paper.
draw rectangle,Can you draw a rectangle?
run fast,I can run fast.
run fast,Run fast in the playground.
blue shoes,The shoes are blue.
blue shoes,I wear blue shoes.
play soccer,I play soccer with friends.
play soccer,Soccer is a fun game.
swim pool,Swim in the pool.
swim pool,The pool is for swimming.
eat salad,I eat salad at lunch.
eat salad,The salad is tasty.
school teacher,The teacher is at school.
school teacher,I listen to my school teacher.
ride sledge snow,Ride the sledge on the snow.
ride sledge snow,The sledge slides on snow.
sit chair,Sit on the chair.
sit chair,The chair is for sitting.
drink water,Drink water every day.
drink water,Water is good for you.
wash hands soap,Wash your hands with soap.
wash hands soap,Use soap to wash hands.
school bag,Take your bag to school.
school bag,The bag is for school.
read newspaper,Read the newspaper every morning.
read newspaper,The newspaper has news.
play with toys,Play with toys in the room.
play with toys,I have many toys to play with.
sweet strawberry,The strawberry is sweet.
sweet strawberry,I eat a sweet strawberry.
draw square,Draw a square on the paper.
draw square,The square has four sides.
eat soup,Eat soup with a spoon.
eat soup,The soup is hot.
play with friends,Play with friends at school.
play with friends,Friends make playtime fun.
wear shoes,Wear your shoes before going out.
wear shoes,Put on your shoes.
ride tractor,Ride the tractor on the farm.
ride tractor,The tractor is big and loud.
sit sofa,Sit on the sofa.
sit sofa,The sofa is soft.
climb stairs,Climb the stairs slowly.
climb stairs,The stairs are long.
wear scarf,Wear a scarf in winter.
wear scarf,The scarf keeps you warm.
drink milk,Drink milk every morning.
drink milk,Milk is good for you.
see whale,I see a whale in the sea.
see whale,The whale is very big.
eat tomato salad,Eat tomato salad at lunch.
eat tomato salad,Tomato salad is tasty.
play soccer game,Play a soccer game with friends.
play soccer game,The soccer game is fun.
jump rope,Jump rope in the playground.
jump rope,Jumping rope is fun.
wear t shirt,Wear a t shirt today.
wear t shirt,The t shirt is soft.
eat sweet strawberry,Eat a sweet strawberry.
eat sweet strawberry,The strawberry is very sweet.
wash with water,Wash your hands with water.
wash with water,Use water to wash your face.
ride sledge snow,Ride the sledge on the snow.
ride sledge snow,Snow is good for sledging.
see spider web,I see a spider web.
see spider web,The spider made a web.
wear socks shoes,Wear socks with your shoes.
wear socks shoes,Put on socks before shoes.
sit schoolyard,Sit in the schoolyard.
sit schoolyard,The schoolyard is big.
use scissors,Use scissors to cut paper.
use scissors,Be careful with scissors.
draw rhombus,Draw a rhombus in your book.
draw rhombus,A rhombus has four sides.
eat sausage sandwich,Eat a sausage sandwich for lunch.
eat sausage sandwich,The sausage sandwich is tasty.
see red rose,I see a red rose.
see red rose,The rose is red and pretty.
wear swimsuit swim,Wear your swimsuit to swim.
wear swimsuit swim,Put on a swimsuit before swimming.
wash face soap,Wash your face with soap.
wash face soap,Soap helps clean your face.
see silver ring,I see a silver ring.
see silver ring,The ring is shiny and silver.
play with toys,Play with toys at home.
play with toys,Toys are fun to play with.
eat salty chips,Eat salty chips for a snack.
eat salty chips,The chips are very salty.
use shampoo hair,Use shampoo to wash your hair.
use shampoo hair,Shampoo makes hair clean.
wear hat winter,Wear a hat in winter.
wear hat winter,"Winter is cold, wear a hat."
see blue sea,I see the blue sea.
see blue sea,The sea is blue and big.
eat sweet cake,Eat a sweet cake for dessert.
eat sweet cake,The cake is sweet and yummy.
run street,Run on the street carefully.
run street,Do not run fast on the street.
see green tree,I see a green tree.
see green tree,The tree is tall and green.
sit table,Sit at the table.
sit table,The table is round.
play with dog,Play with the dog in the yard.
play with dog,The dog likes to play.
eat soup spoon,Eat soup with a spoon.
eat soup spoon,Use a spoon to eat soup.
see white sheep,I see a white sheep.
see white sheep,The sheep is white and fluffy.
ride train station,Ride the train from the station.
ride train station,The train station is busy.
eat salad fork,Eat salad with a fork.
eat salad fork,Use a fork to eat the salad.
yellow sun,The sun is yellow.
yellow sun,I see the yellow sun in the sky.
blue sea,The sea is blue.
blue sea,We swim in the blue sea.
red tomato,The tomato is red.
red tomato,I eat a red tomato.
green salad,The salad is green.
green salad,Eat green salad for lunch.
white sheep,The sheep is white.
white sheep,I see a white sheep.
brown wood,The wood is brown.
brown wood,We build with brown wood.
eat sandwich,I eat a sandwich.
eat sandwich,Eat a sandwich for lunch.
drink water,Drink water every day.
drink water,Water is good for you.
wash hands,Wash your hands before eating.
wash hands,Wash your hands with soap.
wear shoes,Wear your shoes outside.
wear shoes,Put on your shoes.
play soccer,I play soccer with friends.
play soccer,Soccer is a fun game.
ride bike,I can ride a bike.
ride bike,Let's ride a bike together.
sit chair,Sit on the chair.
sit chair,The chair is for sitting.
draw rectangle,Draw a rectangle on the paper.
draw rectangle,Can you draw a rectangle?
draw square,Draw a square on the board.
draw square,The square has four sides.
eat soup,Eat soup with a spoon.
eat soup,The soup is hot.
read book,I like to read a book.
read book,Read a book with me.
see whale,I see a whale in the sea.
see whale,The whale is very big.
run fast,I can run fast.
run fast,Run fast in the playground.
sleep bed,Sleep in your bed.
sleep bed,The bed is soft for sleeping.
ride sledge,Ride the sledge in the snow.
ride sledge,The sledge goes fast on snow.
climb stairs,Climb the stairs slowly.
climb stairs,Go up the stairs.
sit sofa,Sit on the sofa.
sit sofa,The sofa is soft.
see spider,I see a spider on the wall.
see spider,The spider spins a web.
eat cake,Eat cake for dessert.
eat cake,The cake is sweet.
eat salad,Eat salad at lunch.
eat salad,The salad is tasty.
play with toys,Play with toys in the room.
play with toys,I have many toys to play with.
drink milk,Drink milk every morning.
drink milk,Milk is good for you.
eat sweet strawberry,Eat a sweet strawberry.
eat sweet strawberry,The strawberry is very sweet.
wear socks,Wear socks with your shoes.
wear socks,Put on your socks.
wear scarf,Wear a scarf in winter.
wear scarf,The scarf keeps you warm.
wear t shirt,Wear a t shirt today.
wear t shirt,The t shirt is soft.
see blue sky,I see the blue sky.
see blue sky,The sky is blue.
see green tree,I see a green tree.
see green tree,The tree is tall and green.
see red rose,I see a red rose.
see red rose,The rose is red and pretty.
eat sandwich cheese,Eat a sandwich with cheese.
eat sandwich cheese,The sandwich has cheese inside.
wash face soap,Wash your face with soap.
wash face soap,Soap helps clean your face.
eat sausage sandwich,Eat a sausage sandwich for lunch.
eat sausage sandwich,The sausage sandwich is tasty.
see silver ring,I see a silver ring.
see silver ring,The ring is shiny and silver.
see white sheep,I see a white sheep.
see white sheep,The sheep is white and fluffy.
ride train station,Ride the train from the station.
ride train station,The train station is busy.
eat salad fork,Eat salad with a fork.
eat salad fork,Use a fork to eat the salad.
play soccer game,Play a soccer game with friends.
play soccer game,The soccer game is fun.
run street,Run on the street carefully.
run street,Do not run fast on the street.
see yellow flower,I see a yellow flower.
see yellow flower,The flower is yellow.
see blue shoes,I see blue shoes.
see blue shoes,The shoes are blue.
eat salty chips,Eat salty chips for a snack.
eat salty chips,The chips are very salty.
use shampoo hair,Use shampoo to wash your hair.
use shampoo hair,Shampoo makes hair clean.
sit table,Sit at the table.
sit table,The table is round.
see river,I see the river.
see river,The river is long.
see snail,I see a snail outside.
see snail,The snail moves slowly.
see spider web,I see a spider web.
see spider web,The spider made a web.
eat soup spoon,Eat soup with a spoon.
eat soup spoon,Use a spoon to eat soup.
wash with water,Wash your hands with water.
wash with water,Use water to wash your face.
play with dog,Play with the dog in the yard.
play with dog,The dog likes to play.
